Call number,Customer ID,Duration,Representative,Date of Call,Amount,Rating
Call_7271,C0003,116.0,,2023-01-01,128.0,4.9
Call_7272,C0004,,,2023-01-01,135.0,2.9
Call_7273,C0005,68.0,,2023-01-01,96.76328986960883,4.7
Call_7274,C0014,119.0,,2023-01-01,22.0,2.9
Call_7275,C0011,128.0,,2023-01-02,31.0,
Call_7276,C0011,49.0,,2023-01-03,135.0,4.8
Call_7277,C0007,,,2023-01-03,96.76328986960883,4.7
Call_7278,C0003,103.0,,2023-01-03,148.0,4.4
Call_7279,C0005,31.0,,2023-01-03,135.0,3.6
Call_7280,C0010,44.0,,2023-01-03,105.0,
Call_7281,C0011,,,2023-01-03,69.0,4.9
Call_7282,C0013,135.0,,2023-01-03,46.0,3.4
Call_7283,C0002,98.0,,2023-01-04,108.0,3.5
Call_7284,C0010,139.0,,2023-01-04,96.0,4.0
Call_7285,C0013,48.0,,2023-01-04,68.0,4.9
Call_7286,C0010,176.0,,2023-01-05,96.76328986960883,4.8
Call_7287,C0010,99.0,,2023-01-05,195.0,3.9
Call_7288,C0009,28.0,,2023-01-05,28.0,3.8
Call_7289,C0007,54.0,,2023-01-05,170.0,4.3
Call_7290,C0006,48.0,,2023-01-06,30.0,4.4
Call_7291,C0004,128.0,,2023-01-06,72.0,
Call_7292,C0004,38.0,,2023-01-07,92.0,4.9
Call_7293,C0003,67.0,,2023-01-08,165.0,4.5
Call_7294,C0015,58.0,,2023-01-08,140.0,2.1
Call_7295,C0010,54.0,,2023-01-08,111.0,3.3
Call_7296,C0012,28.0,,2023-01-09,63.0,4.1
Call_7297,C0002,73.0,,2023-01-09,80.0,4.2
Call_7298,C0011,81.0,,2023-01-10,50.0,4.6
Call_7299,C0009,31.0,,2023-01-10,123.0,2.9
Call_7300,C0015,155.0,,2023-01-10,110.0,4.8
Call_7301,C0009,80.0,,2023-01-10,140.0,
Call_7302,C0011,82.0,,2023-01-12,42.0,3.7
Call_7303,C0011,29.0,,2023-01-12,170.0,5.0
Call_7304,C0006,160.0,,2023-01-14,105.0,5.0
Call_7305,C0001,105.0,,2023-01-15,125.0,4.8
Call_7306,C0009,75.0,,2023-01-15,26.0,2.4
Call_7307,C0015,94.0,,2023-01-16,120.0,3.1
Call_7308,C0004,90.0,,2023-01-16,132.0,3.2
Call_7309,C0015,81.0,,2023-01-17,86.0,2.4
Call_7310,C0009,106.0,,2023-01-17,108.0,5.0
Call_7311,C0004,74.0,,2023-01-17,96.0,4.7
Call_7312,C0010,105.0,,2023-01-18,80.0,4.7
Call_7313,C0009,89.0,,2023-01-18,155.0,4.1
Call_7314,C0013,132.0,,2023-01-18,168.0,4.1
Call_7315,C0001,105.0,,2023-01-18,56.0,3.6
Call_7316,C0011,13.0,,2023-01-19,32.0,4.4
Call_7317,C0014,131.0,,2023-01-19,78.0,4.4
Call_7318,C0004,104.0,,2023-01-19,86.0,4.0
Call_7319,C0003,90.0,,2023-01-20,64.0,3.8
Call_7320,C0012,37.0,,2023-01-20,96.0,3.6
Call_7321,C0002,149.0,,2023-01-20,72.0,4.3
Call_7322,C0013,100.0,,2023-01-21,135.0,3.8
Call_7323,C0013,79.0,,2023-01-21,140.0,4.5
Call_7324,C0008,157.0,,2023-01-21,69.0,4.5
Call_7325,C0013,59.0,,2023-01-22,136.0,4.6
Call_7326,C0012,83.0,,2023-01-22,28.0,4.5
Call_7327,C0008,58.0,,2023-01-23,135.0,3.3
Call_7328,C0015,118.0,,2023-01-23,126.0,2.3
Call_7329,C0011,63.0,,2023-01-23,160.0,4.3
Call_7330,C0008,95.0,,2023-01-24,48.0,4.6
Call_7331,C0013,74.0,,2023-01-24,66.0,4.0
Call_7332,C0010,130.0,,2023-01-24,126.0,2.5
Call_7333,C0015,110.0,,2023-01-24,96.0,5.0
Call_7334,C0013,71.0,,2023-01-25,90.0,3.8
Call_7335,C0001,147.0,,2023-01-25,105.0,4.4
Call_7336,C0004,69.0,,2023-01-26,40.0,3.8
Call_7337,C0015,50.0,,2023-01-26,60.0,2.0
Call_7338,C0010,124.0,,2023-01-27,215.0,4.1
Call_7339,C0005,81.0,,2023-01-27,156.0,2.6
Call_7340,C0006,141.0,,2023-01-27,54.0,0.0
Call_7341,C0006,168.0,,2023-01-28,160.0,3.9
Call_7342,C0001,101.0,,2023-01-28,80.0,4.8
Call_7343,C0013,67.0,,2023-01-28,168.0,2.6
Call_7344,C0008,114.0,,2023-01-30,42.0,2.6
Call_7345,C0005,42.0,,2023-01-30,205.0,3.6
Call_7346,C0011,69.0,,2023-01-30,108.0,3.3
Call_7347,C0010,145.0,,2023-01-30,78.0,1.9
Call_7348,C0004,43.0,,2023-01-30,23.0,4.9
